,Symbol
1442,CCS
1443,CCSI
1444,CCTS
1445,CCU
1446,CCV
1447,CCVI
1448,CCXI
1449,CCZ
1450,CD
1451,CDAK
1452,CDAQ
1453,CDAY
1454,CDE
1455,CDEV
1456,CDLX
1457,CDMO
1458,CDNA
1459,CDNS
1460,CDR
1461,CDR^B
1462,CDR^C
1463,CDRE
1464,CDRO
1465,CDROW
1466,CDTX
1467,CDW
1468,CDXC
1469,CDXS
1470,CDZI
1471,CDZIP
1472,CE
1473,CEA
1474,CEAD
1475,CEADW
1476,CECE
1477,CEE
1478,CEG
1479,CEI
1480,CEIX
1481,CELC
1482,CELH
1483,CELU
1484,CELUW
1485,CELZ
1486,CEM
1487,CEMI
1488,CEN
1489,CENN
1490,CENQU
1491,CENQW
1492,CENT
1493,CENTA
1494,CENX
1495,CEPU
1496,CEQP
1497,CEQP^
1498,CERE
1499,CERS
1500,CERT
1501,CET
1502,CETX
1503,CETXP
1504,CEV
1505,CEVA
1506,CF
1507,CFB
1508,CFBK
1509,CFFE
1510,CFFEW
1511,CFFI
1512,CFFN
1513,CFFS
1514,CFFSU
1515,CFFSW
1516,CFG
1517,CFG^D
1518,CFG^E
1519,CFIV
1520,CFIVU
1521,CFIVW
1522,CFLT
1523,CFMS
1524,CFR
1525,CFR^B
1526,CFRX
1527,CFSB
1528,CFVI
1529,CFVIU
1530,CFVIW
1531,CG
1532,CGA
1533,CGABL
1534,CGAU
1535,CGBD
1536,CGC
1537,CGEM
1538,CGEN
1539,CGNT
1540,CGNX
1541,CGO
1542,CGRN
1543,CGTX
1544,CHAA
1545,CHCI
1546,CHCO
1547,CHCT
1548,CHD
1549,CHDN
1550,CHE
1551,CHEA
1552,CHEAU
1553,CHEAW
1554,CHEF
1555,CHEK
1556,CHEKZ
1557,CHGG
1558,CHH
1559,CHI
1560,CHK
1561,CHKEL
1562,CHKEW
1563,CHKEZ
1564,CHKP
1565,CHMG
1566,CHMI
1567,CHMI^A
1568,CHMI^B
1569,CHN
1570,CHNG
1571,CHNR
1572,CHPT
1573,CHRA
1574,CHRB
1575,CHRD
1576,CHRS
1577,CHRW
1578,CHS
1579,CHSCL
1580,CHSCM
1581,CHSCN
1582,CHSCO
1583,CHSCP
1584,CHT
1585,CHTR
1586,CHUY
1587,CHW
1588,CHWA
1589,CHWAU
1590,CHWAW
1591,CHWY
1592,CHX
1593,CHY
1594,CI
1595,CIA
1596,CIB
1597,CIDM
1598,CIEN
1599,CIF
1600,CIFR
1601,CIFRW
1602,CIG
1603,CIGI
1604,CIH
1605,CII
1606,CIIG
1607,CIIGU
1608,CIIGW
1609,CIK
1610,CIM
1611,CIM^A
1612,CIM^B
1613,CIM^C
